,,,,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
37,Ezequiel Ávila,ar ARG,"MF,FW",Osasuna,26,1994,8,2,202,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,0.31,0,0.31,0.31,0.31,Matches
38,Ramon Azeez,ng NGA,"MF,DF",Granada,27,1992,2,1,101,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.15,0,0.15,0.15,0.15,Matches
39,Carlos Bacca,co COL,FW,Villarreal,33,1986,23,9,786,8.7,5,0,5,0,0,1,0,0.57,0,0.57,0.57,0.57,3.5,3.5,0.9,4.4,0.4,0.11,0.5,0.4,0.5,Matches
40,Édgar Badía,es ESP,GK,Elche,28,1992,30,30,"2,700",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Alex Baena,es ESP,MF,Villarreal,19,2001,6,2,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.05,0.05,0.09,0.05,0.09,Matches
42,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20,2000,22,4,543,6,1,0,1,0,0,0,0,0.17,0,0.17,0.17,0.17,1.5,1.5,0.6,2.2,0.26,0.1,0.36,0.26,0.36,Matches
43,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,23,17,"1,689",18.8,0,1,0,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0.6,0.7,0,0.03,0.04,0,0.04,Matches
44,Barcia,es ESP,DF,Granada,19,2000,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Enis Bardhi,mk MKD,"MF,FW",Levante,25,1995,26,19,"1,682",18.7,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,2.9,2.9,1.1,4,0.15,0.06,0.21,0.15,0.21,Matches
46,Kike Barja,es ESP,"MF,FW",Osasuna,23,1997,33,17,"1,433",15.9,2,3,2,0,0,2,0,0.13,0.19,0.31,0.13,0.31,1.8,1.8,1.9,3.7,0.12,0.12,0.23,0.12,0.23,Matches
