Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches\
547,Fede Vico\\Fede-Vico,es ESP,MFFW,Granada,25,1994,18,11,876,9.7,2,1,1,1,1,1,0,0.21,0.1,0.31,0.1,0.21,1.5,0.7,1.6,2.3,0.15,0.16,0.31,0.08,0.24,Matches\
548,Aleix Vidal\\Aleix-Vidal,es ESP,MF,Alav\'e9s,29,1989,29,26,2165,24.1,2,4,2,0,0,6,0,0.08,0.17,0.25,0.08,0.25,2.5,2.5,3.8,6.2,0.1,0.16,0.26,0.1,0.26,Matches\
549,Arturo Vidal\\Arturo-Vidal,cl CHI,MF,Barcelona,32,1987,33,16,1671,18.6,8,2,8,0,0,4,0,0.43,0.11,0.54,0.43,0.54,4.3,4.3,2.9,7.2,0.23,0.16,0.39,0.23,0.39,Matches\
550,Nacho Vidal\\Nacho-Vidal,es ESP,DF,Osasuna,24,1995,30,26,2332,25.9,0,0,0,0,0,5,0,0,0,0,0,0,0.8,0.8,1.4,2.2,0.03,0.05,0.09,0.03,0.09,Matches\
551,D\'eddac Vil\'e0\\Didac-Vila,es ESP,DF,Espanyol,30,1989,30,28,2492,27.7,0,0,0,0,0,9,0,0,0,0,0,0,1.4,1.4,1.4,2.8,0.05,0.05,0.1,0.05,0.1,Matches\
552,Toni Villa\\Toni-Villa,es ESP,MF,Valladolid,24,1995,23,18,1354,15,0,1,0,0,0,4,0,0,0.07,0.07,0,0.07,0.9,0.9,1.6,2.5,0.06,0.11,0.16,0.06,0.16,Matches\
553,Asier Villalibre\\Asier-Villalibre,es ESP,FW,Athletic Club,21,1997,19,5,531,5.9,3,0,3,0,0,0,0,0.51,0,0.51,0.51,0.51,2.8,2.8,0,2.8,0.47,0.01,0.48,0.47,0.48,Matches\
554,Iv\'e1n Villar\\Ivan-Villar,es ESP,GK,Celta Vigo,22,1997,4,3,280,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches\
555,Juan Villar\\Juan-Villar,es ESP,FW,Osasuna,31,1988,10,2,240,2.7,1,0,0,1,1,1,0,0.37,0,0.37,0,0,1.1,0.4,0.2,0.5,0.42,0.07,0.49,0.14,0.2,Matches\
556,Vitolo\\Vitolo,es ESP,MFFW,Atl\'e9tico Madrid,29,1989,28,11,1227,13.6,3,2,3,0,0,3,0,0.22,0.15,0.37,0.22,0.37,2.2,2.2,1.6,3.7,0.16,0.12,0.27,0.16,0.27,Matches\
557,\'8aime Vrsaljko\\Sime-Vrsaljko,hr CRO,DF,Atl\'e9tico Madrid,27,1992,5,4,362,4,0,1,0,0,0,3,0,0,0.25,0.25,0,0.25,0,0,0.3,0.3,0,0.08,0.08,0,0.08,Matches\
558,Nikola Vuk\uc0\u269 evi\u263 \\Nikola-Vukcevic,me MNE,MF,Levante,27,1991,30,20,1569,17.4,0,2,0,0,0,11,0,0,0.11,0.11,0,0.11,0.2,0.2,0.2,0.4,0.01,0.01,0.03,0.01,0.03,Matches\
559,Moussa Wagu\'e9\\Moussa-Wague,sn SEN,DF,Barcelona,20,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches\
560,Wakaso\\Wakaso,gh GHA,MF,Alav\'e9s,29,1990,16,15,1283,14.3,0,0,0,0,0,12,1,0,0,0,0,0,0.4,0.4,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches\
